STATE,DISTRICT,DISTRICT_NS,CIRCUIT,TOTAL_FILINGS,CHAP_7,CHAP_11,CHAP_12,CHAP_13,TOTAL_BUSINESS_FILINGS,BCHAP_7,BCHAP_11,BCHAP_12,BCHAP_13,TOTAL_NON_BUSINESS_FILINGS,NBCHAP_7,NBCHAP_11,NBCHAP_13,QTR_ENDED,DATE,FISCAL_YEAR
ARIZONA,ARIZONA,AZ,NINTH CIRCUIT,24001,19277,302,3,4417,769,399,272,3,95,23232,18878,30,4322,09/30/01,2001-09-30,2001
CALIFORNIA,CALIFORNIA NORTHERN,CAN,NINTH CIRCUIT,19354,13636,264,2,5450,1127,584,252,2,288,18227,13052,12,5162,09/30/01,2001-09-30,2001
CALIFORNIA,CALIFORNIA EASTERN,CAE,NINTH CIRCUIT,31758,27147,118,25,4467,1244,823,106,25,289,30514,26324,12,4178,09/30/01,2001-09-30,2001
CALIFORNIA,CALIFORNIA CENTRAL,CAC,NINTH CIRCUIT,86011,70971,488,3,14546,2386,1779,430,3,171,83625,69192,58,14375,09/30/01,2001-09-30,2001
CALIFORNIA,CALIFORNIA SOUTHERN,CAS,NINTH CIRCUIT,13188,10461,58,1,2666,175,117,49,1,6,13013,10344,9,2660,09/30/01,2001-09-30,2001
HAWAII,HAWAII,HI,NINTH CIRCUIT,4975,4453,30,0,491,75,45,26,0,3,4900,4408,4,488,09/30/01,2001-09-30,2001
IDAHO,IDAHO,ID,NINTH CIRCUIT,8124,6836,76,9,1203,279,157,70,9,43,7845,6679,6,1160,09/30/01,2001-09-30,2001
MONTANA,MONTANA,MT,NINTH CIRCUIT,3823,3379,17,3,424,143,111,13,3,16,3680,3268,4,408,09/30/01,2001-09-30,2001
NEVADA,NEVADA,NV,NINTH CIRCUIT,17265,12808,234,1,4222,443,184,223,1,35,16822,12624,11,4187,09/30/01,2001-09-30,2001
OREGON,OREGON,OR,NINTH CIRCUIT,22008,18757,40,12,3199,1306,584,40,12,670,20702,18173,0,2529,09/30/01,2001-09-30,2001
WASHINGTON,WASHINGTON EASTERN,WAE,NINTH CIRCUIT,9891,7440,49,27,2375,334,215,36,27,56,9557,7225,13,2319,09/30/01,2001-09-30,2001
WASHINGTON,WASHINGTON WESTERN,WAW,NINTH CIRCUIT,25872,20806,152,1,4913,311,155,131,1,24,25561,20651,21,4889,09/30/01,2001-09-30,2001
GUAM,GUAM,GUAM,NINTH CIRCUIT,226,180,10,0,36,26,12,10,0,4,200,168,0,32,09/30/01,2001-09-30,2001
NORTHERN MARIANA ISLANDS,NORTHERN MARIANAS,NMI,NINTH CIRCUIT,20,19,1,0,0,5,4,1,0,0,15,15,0,0,09/30/01,2001-09-30,2001
COLORADO,COLORADO,CO,TENTH CIRCUIT,18117,15664,93,3,2357,440,323,91,3,23,17677,15341,2,2334,09/30/01,2001-09-30,2001
KANSAS,KANSAS,KS,TENTH CIRCUIT,13329,11021,48,16,2244,212,126,44,16,26,13117,10895,4,2218,09/30/01,2001-09-30,2001
NEW MEXICO,NEW MEXICO,NM,TENTH CIRCUIT,8426,7275,62,4,1085,586,438,59,4,85,7840,6837,3,1000,09/30/01,2001-09-30,2001
OKLAHOMA,OKLAHOMA NORTHERN,OKN,TENTH CIRCUIT,5692,5164,23,3,502,508,435,22,3,48,5184,4729,1,454,09/30/01,2001-09-30,2001
OKLAHOMA,OKLAHOMA EASTERN,OKE,TENTH CIRCUIT,4148,3873,12,6,257,99,73,12,6,8,4049,3800,0,249,09/30/01,2001-09-30,2001
OKLAHOMA,OKLAHOMA WESTERN,OKW,TENTH CIRCUIT,12959,10752,40,25,2142,375,274,39,25,37,12584,10478,1,2105,09/30/01,2001-09-30,2001
UTAH,UTAH,UT,TENTH CIRCUIT,18522,11846,75,1,6600,463,290,73,1,99,18059,11556,2,6501,09/30/01,2001-09-30,2001
WYOMING,WYOMING,WY,TENTH CIRCUIT,2489,2337,9,0,143,49,34,8,0,7,2440,2303,1,136,09/30/01,2001-09-30,2001
ALABAMA,ALABAMA NORTHERN,ALN,ELEVENTH CIRCUIT,22985,10009,101,3,12872,218,104,79,3,32,22767,9905,22,12840,09/30/01,2001-09-30,2001
ALABAMA,ALABAMA MIDDLE,ALM,ELEVENTH CIRCUIT,8079,3729,20,0,4330,136,93,17,0,26,7943,3636,3,4304,09/30/01,2001-09-30,2001
ALABAMA,ALABAMA SOUTHERN,ALS,ELEVENTH CIRCUIT,6440,2877,30,1,3532,62,21,27,1,13,6378,2856,3,3519,09/30/01,2001-09-30,2001
FLORIDA,FLORIDA NORTHERN,FLN,ELEVENTH CIRCUIT,5996,4762,47,3,1184,92,41,42,3,6,5904,4721,5,1178,09/30/01,2001-09-30,2001
FLORIDA,FLORIDA MIDDLE,FLM,ELEVENTH CIRCUIT,47017,34075,280,4,12657,973,592,258,4,118,46044,33483,22,12539,09/30/01,2001-09-30,2001
FLORIDA,FLORIDA SOUTHERN,FLS,ELEVENTH CIRCUIT,30572,21545,320,0,8706,724,420,301,0,2,29848,21125,19,8704,09/30/01,2001-09-30,2001
GEORGIA,GEORGIA NORTHERN,GAN,ELEVENTH CIRCUIT,36534,15838,174,1,20520,887,425,162,1,298,35647,15413,12,20222,09/30/01,2001-09-30,2001
GEORGIA,GEORGIA MIDDLE,GAM,ELEVENTH CIRCUIT,16717,7084,35,24,9574,110,36,34,24,16,16607,7048,1,9558,09/30/01,2001-09-30,2001
GEORGIA,GEORGIA SOUTHERN,GAS,ELEVENTH CIRCUIT,14185,3695,40,3,10446,115,54,36,3,22,14070,3641,4,10424,09/30/01,2001-09-30,2001
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,DC CIRCUIT,2521,1770,34,0,717,58,26,29,0,3,2463,1744,5,714,09/30/02,2002-09-30,2002
MAINE,MAINE,ME,FIRST CIRCUIT,4467,4059,18,2,388,101,69,18,2,12,4366,3990,0,376,09/30/02,2002-09-30,2002
MASSACHUSETTS,MASSACHUSETTS,MA,FIRST CIRCUIT,17069,14363,199,3,2503,433,232,195,3,2,16636,14131,4,2501,09/30/02,2002-09-30,2002
NEW HAMPSHIRE,NEW HAMPSHIRE,NH,FIRST CIRCUIT,3903,3517,31,0,355,233,196,29,0,8,3670,3321,2,347,09/30/02,2002-09-30,2002
RHODE ISLAND,RHODE ISLAND,RI,FIRST CIRCUIT,4830,4430,6,0,394,68,60,6,0,2,4762,4370,0,392,09/30/02,2002-09-30,2002
PUERTO RICO,PUERTO RICO,PR,FIRST CIRCUIT,13880,4209,136,2,9533,393,155,110,2,126,13487,4054,26,9407,09/30/02,2002-09-30,2002
CONNECTICUT,CONNECTICUT,CT,SECOND CIRCUIT,11456,9513,122,0,1821,179,69,107,0,3,11277,9444,15,1818,09/30/02,2002-09-30,2002
NEW YORK,NEW YORK NORTHERN,NYN,SECOND CIRCUIT,15941,12688,87,5,3161,357,191,83,5,78,15584,12497,4,3083,09/30/02,2002-09-30,2002
NEW YORK,NEW YORK EASTERN,NYE,SECOND CIRCUIT,25098,19296,182,0,5620,315,140,169,0,6,24783,19156,13,5614,09/30/02,2002-09-30,2002
NEW YORK,NEW YORK SOUTHERN,NYS,SECOND CIRCUIT,15914,12586,1473,1,1827,1635,177,1422,1,8,14279,12409,51,1819,09/30/02,2002-09-30,2002
NEW YORK,NEW YORK WESTERN,NYW,SECOND CIRCUIT,13051,9851,45,4,3150,282,189,41,4,47,12769,9662,4,3103,09/30/02,2002-09-30,2002
VERMONT,VERMONT,VT,SECOND CIRCUIT,1774,1561,7,0,206,101,76,7,0,18,1673,1485,0,188,09/30/02,2002-09-30,2002
DELAWARE,DELAWARE,DE,THIRD CIRCUIT,3966,1960,892,0,1094,981,55,890,0,16,2985,1905,2,1078,09/30/02,2002-09-30,2002
NEW JERSEY,NEW JERSEY,NJ,THIRD CIRCUIT,40708,25611,357,0,14739,702,363,326,0,12,40006,25248,31,14727,09/30/02,2002-09-30,2002
PENNSYLVANIA,PENNSYLVANIA EASTERN,PAE,THIRD CIRCUIT,24390,13541,114,2,10733,304,175,105,2,22,24086,13366,9,10711,09/30/02,2002-09-30,2002
PENNSYLVANIA,PENNSYLVANIA MIDDLE,PAM,THIRD CIRCUIT,12495,9499,66,0,2930,620,391,64,0,165,11875,9108,2,2765,09/30/02,2002-09-30,2002
PENNSYLVANIA,PENNSYLVANIA WESTERN,PAW,THIRD CIRCUIT,16596,13693,192,1,2710,439,227,180,1,31,16157,13466,12,2679,09/30/02,2002-09-30,2002
VIRGIN ISLANDS,VIRGIN ISLANDS,VI,THIRD CIRCUIT,59,29,5,0,25,8,3,4,0,1,51,26,1,24,09/30/02,2002-09-30,2002
MARYLAND,MARYLAND,MD,FOURTH CIRCUIT,34963,23353,171,0,11439,636,393,150,0,93,34327,22960,21,11346,09/30/02,2002-09-30,2002
NORTH CAROLINA,NORTH CAROLINA EASTERN,NCE,FOURTH CIRCUIT,14820,7310,63,6,7441,232,139,55,6,32,14588,7171,8,7409,09/30/02,2002-09-30,2002
NORTH CAROLINA,NORTH CAROLINA MIDDLE,NCM,FOURTH CIRCUIT,11668,4869,26,0,6773,269,201,26,0,42,11399,4668,0,6731,09/30/02,2002-09-30,2002
NORTH CAROLINA,NORTH CAROLINA WESTERN,NCW,FOURTH CIRCUIT,9429,4840,54,0,4535,98,51,46,0,1,9331,4789,8,4534,09/30/02,2002-09-30,2002
SOUTH CAROLINA,SOUTH CAROLINA,SC,FOURTH CIRCUIT,15531,6776,96,0,8659,183,99,82,0,2,15348,6677,14,8657,09/30/02,2002-09-30,2002
VIRGINIA,VIRGINIA EASTERN,VAE,FOURTH CIRCUIT,30141,21168,169,0,8804,391,226,134,0,31,29750,20942,35,8773,09/30/02,2002-09-30,2002
VIRGINIA,VIRGINIA WESTERN,VAW,FOURTH CIRCUIT,12509,10780,35,0,1693,566,460,34,0,71,11943,10320,1,1622,09/30/02,2002-09-30,2002
WEST VIRGINIA,WEST VIRGINIA NORTHERN,WVN,FOURTH CIRCUIT,4200,3912,23,0,265,108,78,20,0,10,4092,3834,3,255,09/30/02,2002-09-30,2002
WEST VIRGINIA,WEST VIRGINIA SOUTHERN,WVS,FOURTH CIRCUIT,5821,5497,45,0,279,218,167,43,0,8,5603,5330,2,271,09/30/02,2002-09-30,2002
LOUISIANA,LOUISIANA EASTERN,LAE,FIFTH CIRCUIT,9579,6478,66,0,3035,177,115,59,0,3,9402,6363,7,3032,09/30/02,2002-09-30,2002
LOUISIANA,LOUISIANA MIDDLE,LAM,FIFTH CIRCUIT,3678,2595,54,0,1029,68,17,50,0,1,3610,2578,4,1028,09/30/02,2002-09-30,2002
LOUISIANA,LOUISIANA WESTERN,LAW,FIFTH CIRCUIT,13583,7269,47,12,6255,470,267,44,12,147,13113,7002,3,6108,09/30/02,2002-09-30,2002
MISSISSIPPI,MISSISSIPPI NORTHERN,MSN,FIFTH CIRCUIT,8080,5372,47,2,2659,122,67,45,2,8,7958,5305,2,2651,09/30/02,2002-09-30,2002
MISSISSIPPI,MISSISSIPPI SOUTHERN,MSS,FIFTH CIRCUIT,14019,8920,85,6,5008,173,87,70,6,10,13846,8833,15,4998,09/30/02,2002-09-30,2002
TEXAS,TEXAS NORTHERN,TXN,FIFTH CIRCUIT,28195,13572,290,13,14319,1142,645,276,13,207,27053,12927,14,14112,09/30/02,2002-09-30,2002
TEXAS,TEXAS EASTERN,TXE,FIFTH CIRCUIT,12243,6555,77,2,5609,358,167,73,2,116,11885,6388,4,5493,09/30/02,2002-09-30,2002
TEXAS,TEXAS SOUTHERN,TXS,FIFTH CIRCUIT,20812,11112,364,3,9332,815,369,325,3,117,19997,10743,39,9215,09/30/02,2002-09-30,2002
TEXAS,TEXAS WESTERN,TXW,FIFTH CIRCUIT,18495,10219,182,9,8083,684,376,160,9,137,17811,9843,22,7946,09/30/02,2002-09-30,2002
KENTUCKY,KENTUCKY EASTERN,KYE,SIXTH CIRCUIT,11905,10310,107,0,1488,246,129,105,0,12,11659,10181,2,1476,09/30/02,2002-09-30,2002
KENTUCKY,KENTUCKY WESTERN,KYW,SIXTH CIRCUIT,14934,11920,57,1,2956,126,67,51,1,7,14808,11853,6,2949,09/30/02,2002-09-30,2002
MICHIGAN,MICHIGAN EASTERN,MIE,SIXTH CIRCUIT,37517,25551,184,3,11779,442,230,177,3,32,37075,25321,7,11747,09/30/02,2002-09-30,2002
MICHIGAN,MICHIGAN WESTERN,MIW,SIXTH CIRCUIT,15012,11326,72,3,3611,325,202,69,3,51,14687,11124,3,3560,09/30/02,2002-09-30,2002
OHIO,OHIO NORTHERN,OHN,SIXTH CIRCUIT,40341,33090,128,0,7123,1035,782,125,0,128,39306,32308,3,6995,09/30/02,2002-09-30,2002
OHIO,OHIO SOUTHERN,OHS,SIXTH CIRCUIT,35781,27532,106,5,8138,557,329,99,5,124,35224,27203,7,8014,09/30/02,2002-09-30,2002
TENNESSEE,TENNESSEE EASTERN,TNE,SIXTH CIRCUIT,19466,11904,74,4,7484,320,189,70,4,57,19146,11715,4,7427,09/30/02,2002-09-30,2002
TENNESSEE,TENNESSEE MIDDLE,TNM,SIXTH CIRCUIT,15360,9500,194,0,5666,273,104,154,0,15,15087,9396,40,5651,09/30/02,2002-09-30,2002
TENNESSEE,TENNESSEE WESTERN,TNW,SIXTH CIRCUIT,27984,8037,124,2,19821,232,96,103,2,31,27752,7941,21,19790,09/30/02,2002-09-30,2002
ILLINOIS,ILLINOIS NORTHERN,ILN,SEVENTH CIRCUIT,55985,39360,385,1,16237,831,466,356,1,6,55154,38894,29,16231,09/30/02,2002-09-30,2002
ILLINOIS,ILLINOIS CENTRAL,ILC,SEVENTH CIRCUIT,15353,13071,41,21,2220,193,125,39,21,8,15160,12946,2,2212,09/30/02,2002-09-30,2002
ILLINOIS,ILLINOIS SOUTHERN,ILS,SEVENTH CIRCUIT,8859,6304,26,8,2521,286,173,23,8,82,8573,6131,3,2439,09/30/02,2002-09-30,2002
INDIANA,INDIANA NORTHERN,INN,SEVENTH CIRCUIT,20591,17239,48,2,3302,215,142,47,2,24,20376,17097,1,3278,09/30/02,2002-09-30,2002
INDIANA,INDIANA SOUTHERN,INS,SEVENTH CIRCUIT,32095,25156,159,0,6780,491,304,153,0,34,31604,24852,6,6746,09/30/02,2002-09-30,2002
WISCONSIN,WISCONSIN EASTERN,WIE,SEVENTH CIRCUIT,16079,13076,16,7,2979,229,186,16,7,20,15850,12890,0,2959,09/30/02,2002-09-30,2002
WISCONSIN,WISCONSIN WESTERN,WIW,SEVENTH CIRCUIT,8163,7177,49,13,924,629,484,43,13,89,7534,6693,6,835,09/30/02,2002-09-30,2002
ARKANSAS,ARKANSAS EASTERN,ARE,EIGHTH CIRCUIT,14546,7646,22,2,6876,131,72,14,2,43,14415,7574,8,6833,09/30/02,2002-09-30,2002
ARKANSAS,ARKANSAS WESTERN,ARW,EIGHTH CIRCUIT,8148,5489,18,1,2639,109,53,15,1,39,8039,5436,3,2600,09/30/02,2002-09-30,2002
IOWA,IOWA NORTHERN,IAN,EIGHTH CIRCUIT,4451,4272,15,2,162,198,173,14,2,9,4253,4099,1,153,09/30/02,2002-09-30,2002
IOWA,IOWA SOUTHERN,IAS,EIGHTH CIRCUIT,7022,6568,11,4,439,136,113,11,4,8,6886,6455,0,431,09/30/02,2002-09-30,2002
MINNESOTA,MINNESOTA,MN,EIGHTH CIRCUIT,19655,16337,56,6,3256,1825,1501,55,6,263,17830,14836,1,2993,09/30/02,2002-09-30,2002
MISSOURI,MISSOURI EASTERN,MOE,EIGHTH CIRCUIT,17538,11651,79,5,5802,216,123,72,5,15,17322,11528,7,5787,09/30/02,2002-09-30,2002
MISSOURI,MISSOURI WESTERN,MOW,EIGHTH CIRCUIT,15270,12319,84,2,2865,226,107,81,2,36,15044,12212,3,2829,09/30/02,2002-09-30,2002
NEBRASKA,NEBRASKA,NE,EIGHTH CIRCUIT,7443,5844,52,19,1528,132,55,44,19,14,7311,5789,8,1514,09/30/02,2002-09-30,2002
NORTH DAKOTA,NORTH DAKOTA,ND,EIGHTH CIRCUIT,2028,1940,8,9,71,108,87,8,9,4,1920,1853,0,67,09/30/02,2002-09-30,2002
SOUTH DAKOTA,SOUTH DAKOTA,SD,EIGHTH CIRCUIT,2673,2535,5,3,130,122,98,5,3,16,2551,2437,0,114,09/30/02,2002-09-30,2002
ALASKA,ALASKA,AK,NINTH CIRCUIT,1432,1291,18,0,123,112,80,16,0,16,1320,1211,2,107,09/30/02,2002-09-30,2002
ARIZONA,ARIZONA,AZ,NINTH CIRCUIT,28738,22788,323,6,5620,733,372,271,6,83,28005,22416,52,5537,09/30/02,2002-09-30,2002
CALIFORNIA,CALIFORNIA NORTHERN,CAN,NINTH CIRCUIT,20719,14512,260,0,5945,1277,706,241,0,329,19442,13806,19,5616,09/30/02,2002-09-30,2002
CALIFORNIA,CALIFORNIA EASTERN,CAE,NINTH CIRCUIT,31455,26584,117,20,4733,1265,823,104,20,317,30190,25761,13,4416,09/30/02,2002-09-30,2002
CALIFORNIA,CALIFORNIA CENTRAL,CAC,NINTH CIRCUIT,84936,70142,614,1,14170,2545,1806,561,1,169,82391,68336,53,14001,09/30/02,2002-09-30,2002
CALIFORNIA,CALIFORNIA SOUTHERN,CAS,NINTH CIRCUIT,12844,10336,64,0,2443,223,159,50,0,13,12621,10177,14,2430,09/30/02,2002-09-30,2002
HAWAII,HAWAII,HI,NINTH CIRCUIT,4684,4181,21,0,482,57,38,19,0,0,4627,4143,2,482,09/30/02,2002-09-30,2002
IDAHO,IDAHO,ID,NINTH CIRCUIT,8686,7440,64,8,1174,287,171,52,8,56,8399,7269,12,1118,09/30/02,2002-09-30,2002
MONTANA,MONTANA,MT,NINTH CIRCUIT,4102,3584,19,8,491,122,87,15,8,12,3980,3497,4,479,09/30/02,2002-09-30,2002
NEVADA,NEVADA,NV,NINTH CIRCUIT,19095,14000,312,0,4782,447,147,281,0,18,18648,13853,31,4764,09/30/02,2002-09-30,2002
OREGON,OREGON,OR,NINTH CIRCUIT,24034,20626,70,10,3327,1515,679,70,10,755,22519,19947,0,2572,09/30/02,2002-09-30,2002
WASHINGTON,WASHINGTON EASTERN,WAE,NINTH CIRCUIT,10059,7596,87,5,2371,295,169,62,5,59,9764,7427,25,2312,09/30/02,2002-09-30,2002
WASHINGTON,WASHINGTON WESTERN,WAW,NINTH CIRCUIT,28349,22980,187,0,5182,409,241,143,0,25,27940,22739,44,5157,09/30/02,2002-09-30,2002
GUAM,GUAM,GUAM,NINTH CIRCUIT,400,350,6,0,44,26,19,5,0,2,374,331,1,42,09/30/02,2002-09-30,2002
NORTHERN MARIANA ISLANDS,NORTHERN MARIANAS,NMI,NINTH CIRCUIT,28,24,1,0,3,6,5,1,0,0,22,19,0,3,09/30/02,2002-09-30,2002
COLORADO,COLORADO,CO,TENTH CIRCUIT,20303,17666,110,4,2523,560,416,107,4,33,19743,17250,3,2490,09/30/02,2002-09-30,2002
KANSAS,KANSAS,KS,TENTH CIRCUIT,14519,11790,48,18,2663,243,148,45,18,32,14276,11642,3,2631,09/30/02,2002-09-30,2002
NEW MEXICO,NEW MEXICO,NM,TENTH CIRCUIT,8975,8084,54,2,835,665,549,51,2,63,8310,7535,3,772,09/30/02,2002-09-30,2002
OKLAHOMA,OKLAHOMA NORTHERN,OKN,TENTH CIRCUIT,6374,5808,24,0,542,322,275,21,0,26,6052,5533,3,516,09/30/02,2002-09-30,2002
OKLAHOMA,OKLAHOMA EASTERN,OKE,TENTH CIRCUIT,4500,4143,10,3,344,79,52,10,3,14,4421,4091,0,330,09/30/02,2002-09-30,2002
OKLAHOMA,OKLAHOMA WESTERN,OKW,TENTH CIRCUIT,12959,10985,41,20,1912,252,173,39,20,19,12707,10812,2,1893,09/30/02,2002-09-30,2002
UTAH,UTAH,UT,TENTH CIRCUIT,21444,13922,116,6,7399,590,347,108,6,128,20854,13575,8,7271,09/30/02,2002-09-30,2002
WYOMING,WYOMING,WY,TENTH CIRCUIT,2232,2090,10,0,132,39,27,9,0,3,2193,2063,1,129,09/30/02,2002-09-30,2002
ALABAMA,ALABAMA NORTHERN,ALN,ELEVENTH CIRCUIT,24514,11336,105,3,13068,194,100,81,3,8,24320,11236,24,13060,09/30/02,2002-09-30,2002
ALABAMA,ALABAMA MIDDLE,ALM,ELEVENTH CIRCUIT,9552,4900,12,0,4640,133,99,10,0,24,9419,4801,2,4616,09/30/02,2002-09-30,2002
ALABAMA,ALABAMA SOUTHERN,ALS,ELEVENTH CIRCUIT,7256,3112,29,0,4115,63,29,28,0,6,7193,3083,1,4109,09/30/02,2002-09-30,2002
FLORIDA,FLORIDA NORTHERN,FLN,ELEVENTH CIRCUIT,6394,5047,36,0,1311,74,40,34,0,0,6320,5007,2,1311,09/30/02,2002-09-30,2002
FLORIDA,FLORIDA MIDDLE,FLM,ELEVENTH CIRCUIT,51706,37314,304,2,14085,961,555,280,2,124,50745,36759,24,13961,09/30/02,2002-09-30,2002
FLORIDA,FLORIDA SOUTHERN,FLS,ELEVENTH CIRCUIT,32230,22789,323,0,9115,840,520,293,0,25,31390,22269,30,9090,09/30/02,2002-09-30,2002
GEORGIA,GEORGIA NORTHERN,GAN,ELEVENTH CIRCUIT,41945,19169,213,0,22563,914,489,186,0,239,41031,18680,27,22324,09/30/02,2002-09-30,2002
GEORGIA,GEORGIA MIDDLE,GAM,ELEVENTH CIRCUIT,17832,7625,60,7,10140,160,72,55,7,26,17672,7553,5,10114,09/30/02,2002-09-30,2002
GEORGIA,GEORGIA SOUTHERN,GAS,ELEVENTH CIRCUIT,15290,4195,31,3,11061,131,73,28,3,27,15159,4122,3,11034,09/30/02,2002-09-30,2002
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,DC CIRCUIT,2381,1683,41,0,657,58,21,34,0,3,2323,1662,7,654,09/30/03,2003-09-30,2003
MAINE,MAINE,ME,FIRST CIRCUIT,4593,4206,12,1,374,100,72,12,1,15,4493,4134,0,359,09/30/03,2003-09-30,2003
MASSACHUSETTS,MASSACHUSETTS,MA,FIRST CIRCUIT,18174,15504,216,0,2454,400,188,210,0,2,17774,15316,6,2452,09/30/03,2003-09-30,2003
NEW HAMPSHIRE,NEW HAMPSHIRE,NH,FIRST CIRCUIT,4390,3928,15,0,447,192,156,14,0,22,4198,3772,1,425,09/30/03,2003-09-30,2003
RHODE ISLAND,RHODE ISLAND,RI,FIRST CIRCUIT,4712,4353,4,0,355,45,40,3,0,2,4667,4313,1,353,09/30/03,2003-09-30,2003
PUERTO RICO,PUERTO RICO,PR,FIRST CIRCUIT,14178,4132,140,10,9896,261,137,102,10,12,13917,3995,38,9884,09/30/03,2003-09-30,2003
CONNECTICUT,CONNECTICUT,CT,SECOND CIRCUIT,12272,10119,103,4,2045,188,91,87,4,6,12084,10028,16,2039,09/30/03,2003-09-30,2003
NEW YORK,NEW YORK NORTHERN,NYN,SECOND CIRCUIT,17391,13712,73,14,3591,340,195,70,14,61,17051,13517,3,3530,09/30/03,2003-09-30,2003
NEW YORK,NEW YORK EASTERN,NYE,SECOND CIRCUIT,25931,20010,213,1,5707,307,107,192,1,7,25624,19903,21,5700,09/30/03,2003-09-30,2003
NEW YORK,NEW YORK SOUTHERN,NYS,SECOND CIRCUIT,17298,14262,924,1,2061,1097,163,876,1,7,16201,14099,48,2054,09/30/03,2003-09-30,2003
NEW YORK,NEW YORK WESTERN,NYW,SECOND CIRCUIT,14729,11056,56,7,3610,314,196,54,7,57,14415,10860,2,3553,09/30/03,2003-09-30,2003
VERMONT,VERMONT,VT,SECOND CIRCUIT,1919,1674,6,1,238,84,60,6,1,17,1835,1614,0,221,09/30/03,2003-09-30,2003
DELAWARE,DELAWARE,DE,THIRD CIRCUIT,3978,2074,475,0,1424,551,46,475,0,25,3427,2028,0,1399,09/30/03,2003-09-30,2003
NEW JERSEY,NEW JERSEY,NJ,THIRD CIRCUIT,42921,27574,348,1,14998,699,376,303,1,19,42222,27198,45,14979,09/30/03,2003-09-30,2003
PENNSYLVANIA,PENNSYLVANIA EASTERN,PAE,THIRD CIRCUIT,25752,14302,139,4,11306,338,167,125,4,42,25414,14135,14,11264,09/30/03,2003-09-30,2003
PENNSYLVANIA,PENNSYLVANIA MIDDLE,PAM,THIRD CIRCUIT,13659,10332,58,2,3267,286,161,55,2,68,13373,10171,3,3199,09/30/03,2003-09-30,2003
PENNSYLVANIA,PENNSYLVANIA WESTERN,PAW,THIRD CIRCUIT,19082,15548,200,7,3327,548,314,171,7,56,18534,15234,29,3271,09/30/03,2003-09-30,2003
VIRGIN ISLANDS,VIRGIN ISLANDS,VI,THIRD CIRCUIT,53,37,1,0,15,4,2,1,0,1,49,35,0,14,09/30/03,2003-09-30,2003
MARYLAND,MARYLAND,MD,FOURTH CIRCUIT,35173,23102,434,5,11632,806,332,411,5,58,34367,22770,23,11574,09/30/03,2003-09-30,2003
NORTH CAROLINA,NORTH CAROLINA EASTERN,NCE,FOURTH CIRCUIT,15896,8129,71,15,7681,196,110,62,15,9,15700,8019,9,7672,09/30/03,2003-09-30,2003
NORTH CAROLINA,NORTH CAROLINA MIDDLE,NCM,FOURTH CIRCUIT,12539,5599,25,0,6915,200,145,25,0,30,12339,5454,0,6885,09/30/03,2003-09-30,2003
NORTH CAROLINA,NORTH CAROLINA WESTERN,NCW,FOURTH CIRCUIT,10376,5458,88,2,4826,126,43,79,2,0,10250,5415,9,4826,09/30/03,2003-09-30,2003
SOUTH CAROLINA,SOUTH CAROLINA,SC,FOURTH CIRCUIT,16335,7079,64,4,9187,140,88,45,4,3,16195,6991,19,9184,09/30/03,2003-09-30,2003
VIRGINIA,VIRGINIA EASTERN,VAE,FOURTH CIRCUIT,30840,21115,173,1,9551,392,226,143,1,22,30448,20889,30,9529,09/30/03,2003-09-30,2003
VIRGINIA,VIRGINIA WESTERN,VAW,FOURTH CIRCUIT,13002,10711,32,2,2257,564,458,30,2,74,12438,10253,2,2183,09/30/03,2003-09-30,2003
WEST VIRGINIA,WEST VIRGINIA NORTHERN,WVN,FOURTH CIRCUIT,4729,4403,40,0,286,127,73,40,0,14,4602,4330,0,272,09/30/03,2003-09-30,2003
WEST VIRGINIA,WEST VIRGINIA SOUTHERN,WVS,FOURTH CIRCUIT,6373,6040,26,1,306,193,149,26,1,17,6180,5891,0,289,09/30/03,2003-09-30,2003
LOUISIANA,LOUISIANA EASTERN,LAE,FIFTH CIRCUIT,10168,6905,59,2,3202,145,96,47,2,0,10023,6809,12,3202,09/30/03,2003-09-30,2003
LOUISIANA,LOUISIANA MIDDLE,LAM,FIFTH CIRCUIT,3926,2840,16,0,1070,31,18,12,0,1,3895,2822,4,1069,09/30/03,2003-09-30,2003
LOUISIANA,LOUISIANA WESTERN,LAW,FIFTH CIRCUIT,15070,8174,51,40,6805,337,144,47,40,106,14733,8030,4,6699,09/30/03,2003-09-30,2003
MISSISSIPPI,MISSISSIPPI NORTHERN,MSN,FIFTH CIRCUIT,8465,5857,38,31,2539,142,65,37,31,9,8323,5792,1,2530,09/30/03,2003-09-30,2003
MISSISSIPPI,MISSISSIPPI SOUTHERN,MSS,FIFTH CIRCUIT,14391,9590,62,2,4737,160,88,53,2,17,14231,9502,9,4720,09/30/03,2003-09-30,2003
TEXAS,TEXAS NORTHERN,TXN,FIFTH CIRCUIT,30777,15399,431,26,14921,1250,591,414,26,219,29527,14808,17,14702,09/30/03,2003-09-30,2003
TEXAS,TEXAS EASTERN,TXE,FIFTH CIRCUIT,12927,7401,77,9,5440,309,177,69,9,54,12618,7224,8,5386,09/30/03,2003-09-30,2003
TEXAS,TEXAS SOUTHERN,TXS,FIFTH CIRCUIT,25263,13050,468,4,11740,884,352,440,4,87,24379,12698,28,11653,09/30/03,2003-09-30,2003
